"scraping_id","listing","city","lon","lat","mapped_location","name","capacity","bathrooms","bedrooms","has_pool","cleaning_fee","is_superhost","host_name"
"22354634","https://www.airbnb.com/rooms/22357422","Scottsdale","-111.900175641182","33.5910005258079","https://maps.google.com/maps?q=33.59100052580788542,-111.90017564118241467","Best North Scottsdale Location","8","5","4","1",(NULL),"0","Nancy"
"22354705","https://www.airbnb.com/rooms/22357492","Phoenix","-112.056410830389","33.4756108638457","https://maps.google.com/maps?q=33.47561086384573059,-112.05641083038851491","The Nest Tiny House: A Downtown Retreat","3","1","0","0","30","1","Cassie And Gilbert"
"22356735","https://www.airbnb.com/rooms/22359505","Scottsdale","-111.910011547831","33.4610181734351","https://maps.google.com/maps?q=33.46101817343513574,-111.91001154783069182","Sand Castle","16","3","4","1","165","1","Vanessa"
"22357212","https://www.airbnb.com/rooms/22360124","Scottsdale","-111.901298268165","33.5435073350424","https://maps.google.com/maps?q=33.54350733504240623,-111.90129826816496461","Condo in Scottsdale with Resort Like Amenities","6","2","2","1","125","1","Ariel"
"22358507","https://www.airbnb.com/rooms/22361335","Scottsdale","-111.947547055645","33.5977269200633","https://maps.google.com/maps?q=33.59772692006330175,-111.94754705564487551","Beautiful Home for a group get away heart of 85254","10","3","5","1","350","0","Brittany"
"22360372","https://www.airbnb.com/rooms/22363265","Scottsdale","-111.910383116839","33.4603076712275","https://maps.google.com/maps?q=33.46030767122754668,-111.91038311683855966","Mi Casa Su Casa","6","1","1","1","70","1","Vanessa"
"22367810","https://www.airbnb.com/rooms/22370597","Phoenix","-112.049020175457","33.4788727107997","https://maps.google.com/maps?q=33.47887271079968485,-112.04902017545741444","Pitchler Place","2","1","1","0",(NULL),"0","Jerry"
"22368434","https://www.airbnb.com/rooms/22371338","Peoria","-112.231999678068","33.6682575089062","https://maps.google.com/maps?q=33.66825750890615154,-112.23199967806780819","Cozy Peoria Home in Fletcher Heights","12","2","4","0","99","1","Nick"
"22368650","https://www.airbnb.com/rooms/22371553","Phoenix","-112.055232388319","33.5810771583767","https://maps.google.com/maps?q=33.58107715837670071,-112.05523238831933952","NEW! 2BR Phoenix Condo w/ Balcony & Shared Pool!","4","2","2","1","85","0","Evolve Vacation Rental"
"22369107","https://www.airbnb.com/rooms/22371895","Sun City","-112.298429150289","33.5952518659047","https://maps.google.com/maps?q=33.59525186590474277,-112.29842915028912387","NEW! Cozy 2BR Sun City House w/ Private Backyard!","4","2","2","1","160","0","Evolve Vacation Rental"
"22369221","https://www.airbnb.com/rooms/22372032","Scottsdale","-111.908275603288","33.5560080424172","https://maps.google.com/maps?q=33.55600804241722557,-111.90827560328841628","NEW! 4BR Scottsdale Home w/Pool & Golf Course View","8","2.5","4","1","315","0","Evolve Vacation Rental"
